Player,AB,R,H,2B,3B,HR,TB,RBI,BB,K,SAC,AVG,OBP,SLG,ISO,OPS,GPA,wOBA
Andrew Burch,3,3,3,1,0,0,4,0,0,0,0,1.000,1.000,1.333,0.333,2.333,0.783,1.017
Qaiser Patel,3,1,1,0,0,0,1,0,0,0,0,0.333,0.333,0.333,0.000,0.666,0.233,0.297
Rich Squitieri,2,0,1,0,0,0,1,3,0,0,1,0.500,0.333,0.500,0.000,0.833,0.275,0.297
Dan Prince,3,1,2,0,1,0,4,2,0,0,0,0.667,0.667,1.333,0.666,2.000,0.633,0.833
Joey Owen,3,0,1,0,0,0,1,1,0,0,0,0.333,0.333,0.333,0.000,0.666,0.233,0.297
Joe Edwards,3,1,2,0,0,0,2,0,0,0,0,0.667,0.667,0.667,0.000,1.334,0.467,0.593
Nick Hurlburt,2,0,2,1,0,0,3,0,0,0,0,1.000,1.000,1.500,0.500,2.500,0.825,1.080
David Holm,2,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Amory Meltzer,2,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Joe P,2,0,1,0,0,0,1,0,0,1,0,0.500,0.500,0.500,0.000,1.000,0.350,0.445
Jeremy Lindsey,2,1,1,0,0,0,1,0,0,1,0,0.500,0.500,0.500,0.000,1.000,0.350,0.445
Total:,27,7,14,2,1,0,18,7,0,2,1,0.519,0.500,0.667,0.148,1.167,0.392,0.498
